CustomerID,CustomerName,CustomerCity,CustomerCountry,PaymentTerms
2248,"Hall, Bridges and Lang",New Patrickborough,France,NET30
2249,"Briggs, Arroyo and Freeman",East Danielleland,France,NET15
2250,Stone Group,Coleville,India,EOM
2251,"Gutierrez, Hall and Pitts",Edwardhaven,USA,EOM
2252,"Rivera, Roy and Sherman",Medinaview,Canada,NET30
2253,Giles Inc,West Edward,USA,COD
2254,Harris-Walsh,Williamsonfurt,UK,NET30
2255,Rivera-Brown,South Sarah,Germany,NET45
2256,Jones Ltd,Christensenport,France,NET30
2257,"Davis, Gordon and Peck",Thorntonberg,China,NET30
2258,Williams Ltd,East Lisafurt,India,COD
2259,Schultz Inc,Harrisfurt,Japan,NET15
2260,"Martinez, Bennett and Hardy",Lake Michaelport,Italy,EOM
2261,"Kramer, Ramirez and Ware",Estesshire,Mexico,NET45
2262,"Nash, Rice and Townsend",Floreschester,Italy,NET45
2263,"Mason, Hall and Ford",Racheltown,India,NET15
2264,Reed-White,New Lawrence,Germany,NET30
2265,Morales-May,Matthewfort,Italy,NET15
2266,Cabrera-Rodriguez,Josephhaven,Spain,COD
2267,"Fuentes, Sanders and Jimenez",West Andrewshire,Australia,NET45
2268,Allen Inc,West Sheliaburgh,Canada,NET15
2269,Baker-Miller,North Brittany,Canada,NET15
2270,Velazquez-Smith,Maldonadofurt,Australia,NET15
2271,Bryant PLC,Wisehaven,Canada,COD
2272,Hall-Barton,New Jasonmouth,Australia,NET45
2273,Jordan-Gonzalez,Tylerton,South Africa,EOM
2274,Gomez Group,Christophershire,South Africa,NET45
2275,Moore Group,Lake Kathleen,Mexico,EOM
2276,Brooks-Evans,Lake Mollymouth,China,EOM
2277,Martin-Richardson,New Jasonchester,UK,NET30
2278,Hays-Bowen,Kathyfurt,Japan,COD
2279,Jones and Sons,Loganport,Japan,COD
2280,Sullivan PLC,West Yolanda,UK,NET45
2281,Scott-Williams,Jamesberg,Japan,NET15
2282,Gamble-Thomas,Kirkside,Spain,NET15
2283,Williams-Villanueva,Lake Ericmouth,Japan,NET45
2284,"Ayala, Pena and West",North Mark,USA,COD
2285,Mitchell Group,Carterside,France,COD
2286,Roth-Wood,West Jonathan,USA,NET45
2287,"Leblanc, Adams and Lawson",West William,Germany,NET15
2288,"Miller, Hunter and Daniel",Woodburgh,UK,NET15
2289,James-Ellison,West Amandaton,India,COD
2290,Williams-Mann,Lake Renee,Spain,NET15
2291,"Curry, Boyle and Christensen",New Tracyville,Spain,EOM
2292,"Powell, Gregory and Bell",Port Thomas,Japan,NET45
2293,Gonzalez Group,Stephanieshire,Spain,EOM
2294,Walker-Harper,Lewisview,Italy,COD
2295,"Miller, Smith and Jimenez",Lake Tylerside,Canada,EOM
2296,Edwards Inc,Josephton,Brazil,NET15
2297,Alvarez and Sons,Chapmanport,South Africa,COD
2298,Rocha PLC,Matthewmouth,South Africa,NET45
2299,Ruiz Ltd,Angelahaven,China,NET45
2300,"Richmond, Simmons and Davis",Josephtown,Spain,NET15
2301,"Scott, Flynn and Woods",Garciaview,Italy,EOM
2302,Medina Inc,Weaverton,Japan,EOM
2303,"Blevins, Barton and Palmer",North Jessica,Spain,COD
2304,Mack-Garcia,Johnsonchester,Canada,NET15
2305,Adams-Lewis,North Seth,India,NET45
2306,"Francis, Sullivan and Castillo",Alexandriashire,Japan,COD
2307,Webb Group,Brewershire,Singapore,NET30
2308,"Schmidt, Taylor and Horn",Thompsonborough,Australia,EOM
2309,"Williams, Rivas and Garcia",New Cory,Brazil,COD
2310,Duncan-Cruz,Derrickview,India,NET45
2311,Cruz-Roach,Michaelland,Mexico,NET15
2312,Garner-Long,East Elaine,Canada,NET45
2313,"Johnson, Mcgee and Hart",Martinezview,USA,EOM
2314,"Black, Nicholson and Graves",Mariatown,UK,COD
2315,"Summers, Gutierrez and Burns",West Luiston,Canada,COD
2316,"Eaton, Medina and Bruce",Zavalamouth,South Africa,NET30
2317,Gonzales PLC,Jacksonbury,Canada,COD
2318,"Smith, Mckee and Gibbs",West Lindsay,Germany,NET45
2319,"Singh, Adams and Ellis",West Lauriestad,USA,EOM
2320,Sullivan LLC,Barneschester,Germany,COD
2321,Smith-Li,East Anthony,France,NET45
2322,Lowe-Hebert,Jonesshire,Italy,NET30
2323,Romero LLC,Toniview,Italy,NET30
2324,Harris Group,West Thomas,France,NET30
2325,Johnson-Thompson,Emmaport,Mexico,EOM
2326,Ramirez-Bennett,Davidton,China,COD
2327,Davies-Sharp,Thompsonport,Australia,NET15
2328,Shaw PLC,Josephmouth,South Africa,EOM
2329,Jones-Meyer,West Debraland,Australia,EOM
2330,Price LLC,West Elizabethchester,Brazil,NET45
2331,Johnson-Bennett,Kochland,Spain,NET15
2332,Thomas Ltd,Port Tracyberg,India,EOM
2333,Christian-Johnson,Wilsonville,Brazil,NET30
2334,Vasquez-Boone,West Ryanton,Singapore,NET45
2335,"Sanchez, Le and Baker",Olsonview,Spain,EOM
2336,Martinez PLC,North Michaelborough,Japan,NET15
2337,Bautista Ltd,North Michaelfurt,Mexico,COD
2338,Rivers and Sons,Lake Douglasberg,India,EOM
2339,Robinson Ltd,East Stanley,Singapore,EOM
2340,"Howard, Scott and Mejia",West Hannahtown,Australia,COD
2341,Mitchell-Kelley,Rebeccamouth,India,EOM
2342,Garza-Bradley,New Jonathan,Italy,COD
2343,King-Chen,Huntport,France,NET30
2344,Smith-Hampton,North Kevinborough,Germany,NET15
2345,Ball and Sons,East Edgarville,Japan,NET30
2346,"Davis, Berry and Guerra",Nicoleberg,Singapore,NET15
2347,"Ray, Armstrong and Sullivan",Walkerland,Brazil,COD
2348,Kelly-Sampson,Hobbsview,China,EOM
2349,"Blanchard, Hays and Fletcher",Lake Kyleland,Japan,COD
2350,Stewart and Sons,South Kevinchester,Canada,EOM
2351,"Mclaughlin, Smith and Reynolds",West Johnhaven,India,COD
2352,"Hartman, Banks and Kim",Lake David,UK,COD
2353,Pearson Inc,Davidtown,Spain,NET45
2354,Garcia-Combs,East Jessica,China,EOM
2355,"Hammond, Smith and Nelson",West Annmouth,Australia,NET45
2356,Olsen LLC,North Christopherville,UK,NET30
2357,Jackson Inc,Guerraside,USA,NET15
2358,Avila and Sons,Suzannebury,Mexico,NET30
2359,"Patel, Ramirez and Costa",Jensenmouth,Singapore,NET15
2360,Andrade-Diaz,South John,Japan,NET15
2361,Griffith PLC,Grayside,China,NET15
2362,"Vaughn, Jones and Krause",North Jared,China,COD
2363,Rhodes-Palmer,Bullockberg,Italy,EOM
2364,Kennedy-Jennings,Rebeccaport,UK,COD
2365,Roberson and Sons,Hayesshire,Japan,COD
2366,Lee-Gutierrez,South Valerieburgh,Mexico,EOM
2367,Davis PLC,West Margaret,Spain,NET30
2368,Fernandez-Ellis,Lindaside,Mexico,NET15
2369,Rose-Henderson,West Karenbury,Canada,NET45
2370,"Harris, Horton and Green",Port Davidfurt,Singapore,NET30
2371,Lopez and Sons,South Karenburgh,Italy,EOM
2372,Gonzalez-Banks,North Yolandaberg,Singapore,NET30
2373,Carter Inc,Port Karinashire,Mexico,EOM
2374,Murray-Murphy,North Katelynside,Japan,NET30
2375,"Case, Bates and Hart",Mortonville,Italy,NET45
2376,Vaughn Ltd,New Antonio,Singapore,EOM
2377,Dougherty-Smith,Conleyhaven,South Africa,NET30
2378,"Larson, Burns and Rios",Stevenmouth,USA,EOM
2379,Burch-Rodriguez,South Jamesville,China,NET30
2380,Smith LLC,South Zachary,Italy,EOM
2381,"Drake, Martinez and Ryan",Lake Amystad,USA,EOM
2382,Crawford-Williams,Lake William,Mexico,NET15
2383,Williams Inc,Fieldsmouth,Mexico,EOM
2384,Kim LLC,Dawnburgh,Brazil,NET30
2385,Mercado Group,North Jennifer,Spain,NET45
2386,Mendez-Knight,Scotttown,Japan,NET45
2387,Beard-Chavez,New Rickyville,Japan,NET45
2388,"Brown, Rodriguez and Stanley",Parkerville,Australia,NET30
2389,"Watson, Wong and Long",Lake Lisa,Australia,COD
2390,Booth Inc,West Brenda,Italy,NET15
2391,"Harrison, Wilson and Arnold",Paulmouth,UK,NET30
2392,Carey-Phillips,Port Mason,India,NET30
2393,Brock LLC,Pamelaville,Singapore,NET30
2394,Harmon-Camacho,South Phillip,France,COD
2395,"Sloan, Chambers and Flores",Garretttown,Italy,EOM
2396,Hansen-Austin,Lake Melissa,Australia,NET45
2397,Lane-Wright,Kristinfort,Australia,NET30
2398,Anderson Group,Port Sylviaburgh,Mexico,COD
2399,Anderson-Frazier,North Matthewfort,Singapore,NET15
2400,Martin Group,Calvinmouth,Australia,NET15
2401,"Goodwin, Leon and Pham",Martintown,Canada,NET30
2402,Henry-Thompson,East Hollystad,Germany,NET15
2403,"Cisneros, Walker and Thomas",Taylorchester,USA,NET45
2404,Torres Inc,Williamsonstad,USA,COD
2405,"Smith, Jordan and Bowman",South Joan,China,NET45
2406,May-Lynch,North James,France,NET30
2407,Cooper-Gonzalez,Heatherbury,Spain,NET30
2408,Johnson and Sons,Murilloside,Singapore,NET45
2409,Stephens-Jones,East Stephenmouth,China,NET30
2410,Watkins and Sons,Jonesville,South Africa,NET45
2411,"Schultz, Lewis and Brooks",Lake Kelly,Japan,NET45
2412,"Dillon, Weaver and Murphy",Andersenmouth,USA,NET45
2413,"Sims, Jones and Andrews",Coleview,China,COD
2414,Adkins PLC,Derekland,Italy,EOM
2415,Smith-Clark,West Brittany,Japan,NET45
2416,Porter Ltd,Kellyton,France,COD
2417,Molina PLC,Millerberg,China,COD
2418,Miller-Gutierrez,South Kristin,UK,NET45
2419,Brooks-Barnes,Khantown,Spain,EOM
2420,Jones-Gill,East Angela,Japan,NET45
2421,"Strickland, Watkins and Bennett",Mendozaview,Australia,NET45
2422,Allen-Campbell,East Samantha,Australia,COD
2423,Martin-Howard,Colefort,Australia,NET30
2424,"Fuller, Carroll and Hall",New Sarahbury,China,NET30
2425,Valenzuela PLC,Orrchester,Italy,COD
2426,Diaz-Burke,Matthewbury,China,NET45
2427,"Black, Obrien and Grant",North Arthur,France,COD
2428,Schwartz-Hensley,Lake Gregoryfurt,Singapore,COD
2429,Hubbard and Sons,Port Shane,France,NET15
2430,Henson and Sons,North Robertfurt,Japan,NET15
2431,Vaughn PLC,West Sheila,China,COD
2432,Harding Ltd,Port Jesse,South Africa,NET15
2433,"Gardner, Jones and Kirby",East Heather,USA,NET30
2434,"Harrington, Pierce and Smith",Port Diana,Germany,NET30
2435,Gaines-Daniel,North Natalie,Mexico,NET15
2436,"Ross, Riley and Wise",Penaview,Japan,COD
2437,Patrick Inc,West Tracieburgh,China,NET30
2438,Blackburn-Ayers,Lancebury,Canada,NET15
2439,Meyers-Fuentes,North Anitatown,USA,EOM
2440,Marsh-Smith,West Ashleyside,Singapore,NET30
2441,Berger-Lewis,Karaville,Brazil,NET15
2442,Wright Inc,Gregorymouth,Brazil,EOM
2443,"Mcdowell, Rice and Flores",North Robert,Spain,NET30
2444,"Rivera, Wiley and Lewis",Michaelberg,Canada,NET15
2445,Gomez-Dillon,Pattonburgh,Mexico,NET30
2446,"Hampton, Garcia and Owens",Sarahbury,UK,NET45
2447,"Williams, Bryant and White",East Robert,Italy,NET15
2448,Brooks-Rivera,Crystalbury,China,EOM
2449,"Webster, Mcpherson and Perez",East Emily,Canada,COD
2450,"Howe, Jones and Olsen",South Christine,USA,COD
2451,"Bell, Miller and Rogers",West Isaac,India,EOM
2452,Johnson-Shelton,West Stefanie,China,NET30
2453,Castro LLC,Williamsport,Australia,NET45
2454,Hays-Wu,Staceyfort,Italy,NET45
2455,Rogers Ltd,New Richard,China,EOM
2456,Cortez-King,New Ericside,Australia,EOM
2457,Cherry-Gay,Jordanchester,France,NET45
2458,West Ltd,West Ashley,Canada,NET45
2459,Fitzgerald-Scott,Kimberlyland,South Africa,EOM
2460,Dunlap-Thomas,New Tracymouth,France,COD
2461,Davis Ltd,Port Melissashire,Italy,NET15
2462,Austin-Figueroa,New Robert,Singapore,EOM
2463,Juarez-Gallegos,South Jessica,France,COD
2464,Holt-Weber,South Amanda,Brazil,NET30
2465,James-Lawrence,North Antoniochester,Canada,COD
2466,Daugherty Inc,Nicholsonhaven,Canada,EOM
2467,Rosario-Navarro,West Jenniferport,Mexico,EOM
2468,Ramirez-Taylor,Laurenmouth,Brazil,COD
2469,Williams and Sons,South Johnborough,India,NET30
2470,Sullivan-Thomas,South Tina,Brazil,NET45
2471,Miller-Padilla,Kyletown,Mexico,NET30
2472,Moody-Wilson,Amandafort,Mexico,NET15
2473,Carney-Taylor,Chasetown,UK,NET45
2474,Norton-Smith,East Christopher,Brazil,NET15
2475,Hall LLC,Smithmouth,France,NET45
2476,Barton-Daniels,New Clintonton,South Africa,NET30
2477,"Murphy, Wyatt and Black",Kevinchester,India,NET30
2478,"Baker, Campbell and Brown",Amyside,Germany,EOM
2479,Valencia-Long,North Paula,Italy,NET45
2480,Hampton-Mathews,Port Markchester,Italy,NET15
2481,Owen-Rivera,Evansport,Japan,NET15
2482,Ramsey PLC,Davidfurt,USA,EOM
2483,Long-Peck,Herrerafurt,South Africa,COD
2484,Ferguson-Leach,Briggsbury,Mexico,COD
2485,"Mack, Webb and Harris",New Michaelside,Mexico,NET15
2486,Hall and Sons,Skinnerbury,Australia,NET15
2487,Walker LLC,Port Zacharybury,USA,NET30
2488,Palmer-Strong,West Molly,Brazil,EOM
2489,Jones-Wilkinson,Hartburgh,Brazil,NET45
2490,Mitchell-Mejia,Brandyshire,USA,EOM
2491,Williams-Hill,Stephenston,China,EOM
2492,"Davis, Phelps and Burns",Lake Ritaborough,Spain,NET30
2493,Rodgers Ltd,Charlestown,Canada,NET15
2494,"Edwards, Ruiz and Martin",Davidfort,Japan,NET45
2495,Vance-Hamilton,North Brandon,India,NET30
2496,"Rowland, Mcgee and Rivas",Aprilland,China,NET30
2497,Stone Ltd,Campbellhaven,Germany,EOM
2498,Marquez and Sons,Samuelfurt,South Africa,NET45
2499,"Young, Reilly and Hernandez",West Alexville,Japan,NET45
2500,"Macias, Lawson and Zimmerman",Maryland,UK,NET15
